,JPN_0,JPN_1,JPN_2,JPN_3,JPN_4,JPN_5,JPN_6,JPN_7,JPN_8,JPN_9,JPN_10,JPN_11,JPN_12
VEN_0,4.0346311324087633e-05,0.0002319912901135039,0.0006669749590763236,0.0012783686715629537,0.0018376549653717458,0.0021133032101775077,0.002025248909753445,0.0016635973187260444,0.001195710572834344,0.000763926199310831,0.0004392575646037278,0.00022961190877013047,0.00011002237295235418
VEN_1,0.0001765151120428834,0.0010149618942465796,0.002918015445958916,0.005592862938087922,0.00803974047350139,0.009245701544526598,0.008860463980171322,0.007278238269426444,0.005231233756150255,0.003342177121984886,0.0019217518451413091,0.0010045521008693208,0.0004813478816665496
VEN_2,0.0003861268075938074,0.0022202291436643927,0.006383158788035128,0.01223438767706733,0.017586932285784285,0.02022497212865193,0.019382264956624765,0.015921146214370345,0.011443323841578685,0.007311012454341938,0.004203832161246614,0.0021974577206516394,0.001052948491145577
VEN_3,0.0005631015944076357,0.003237834167843906,0.00930877323255123,0.017841815362389855,0.02564760958343542,0.02949475102095073,0.02826580306174445,0.023218338229290085,0.016688180602302247,0.010661893162581992,0.006130588568484646,0.003204625842616974,0.0015355498829206333
VEN_4,0.0006158923688833518,0.0035413811210792726,0.010181470723102907,0.019514485552613904,0.02805207298188249,0.032259883929164866,0.030915722098782995,0.025395057438286035,0.018252697533768084,0.011661445646574054,0.006705331246780081,0.003505059515362316,0.0016795076844444428
VEN_5,0.0005389058227729327,0.0030987084809443637,0.008908786882715044,0.01707517485853717,0.02454556385914718,0.028227398438019257,0.027051256836435125,0.022220675258500282,0.015971110342047075,0.010203764940752298,0.005867164840932571,0.003066927075942026,0.0014695692238888875
VEN_6,0.00039295216243859677,0.0022594749340219314,0.006495990435313052,0.012450648334350018,0.01789780698062815,0.020582478027722374,0.019724874776567276,0.016202575709323118,0.01164560129107599,0.0074402452692985495,0.004278141029846666,0.0022363009928743935,0.0010715608924189803
VEN_7,0.00024559510152412297,0.0014121718337637072,0.004059994022070658,0.007781655208968761,0.011186129362892592,0.012864048767326483,0.012328046735354545,0.01012660981832695,0.0072785008069224935,0.004650153293311593,0.002673838143654166,0.001397688120546496,0.0006697255577618627
VEN_8,0.00013430982114600475,0.0007722814715895274,0.0022203092308198907,0.004255592692404791,0.006117414495331887,0.007035026669631671,0.006741900558397018,0.005537989744397551,0.003980430128785738,0.0025430525822797783,0.0014622552348108721,0.0007643606909238652,0.0003662561644010187
VEN_9,6.5289496390419e-05,0.00037541460424490923,0.001079316987204114,0.0020686908921412183,0.002973743157453001,0.0034198046310709514,0.003277312771442995,0.0026920783479710323,0.0019349313126041788,0.0012362061163860034,0.0007108185169219519,0.0003715642247546567,0.00017804119102827302
VEN_10,2.8564154670808303e-05,0.00016424388935714775,0.0004722011819017997,0.0009050522653117828,0.001301012631385688,0.001496164526093541,0.0014338243375063102,0.0011777842772373263,0.0008465324492643281,0.0005408401759188764,0.00031098310115335384,0.00016255934833016227,7.789302107486942e-05
VEN_11,1.1360743334980574e-05,6.532427417613831e-05,0.0001878072882563976,0.00035996396915809545,0.0005174482056647622,0.0005950654365144766,0.0005702710433263733,0.0004684369284466638,0.00033668904232103956,0.00021510688814955307,0.00012368646068599304,6.465428626767818e-05,3.0980178836595785e-05
VEN_12,4.141937674211667e-06,2.381614162671709e-05,6.847140717681162e-05,0.00013123686375555562,0.0001886529916486112,0.00021695094039590287,0.00020791131787940696,0.00017078429682951287,0.00012275121334621235,7.842438630452456e-05,4.509402212510162e-05,2.3571875201757666e-05,1.1294856867508882e-05
