,DOM_0,DOM_1,DOM_2,DOM_3,DOM_4,DOM_5,DOM_6,DOM_7,DOM_8,DOM_9,DOM_10,DOM_11,DOM_12
KOR_0,5.004872933695884e-06,3.7536547002719136e-05,0.00014076205126019672,0.0003519051281504918,0.0006598221152821722,0.0009897331729232584,0.0012371664661540729,0.0013255354994507924,0.0012426895307351181,0.0010355746089459315,0.0007766809567094487,0.0005295551977564422,0.00033097199859777646
KOR_1,2.377314643505545e-05,0.0001782985982629159,0.0006686197434859346,0.0016715493587148363,0.003134155047590318,0.004701232571385478,0.005876540714231847,0.006296293622391265,0.0059027752709918105,0.004918979392493175,0.0036892345443698816,0.0025153871893431007,0.0015721169933394384
KOR_2,5.6461222783256693e-05,0.00042345917087442523,0.0015879718907790945,0.003969929726947736,0.007443618238027005,0.011165427357040509,0.013956784196300637,0.014953697353179253,0.01401909126860555,0.011682576057171292,0.008761932042878468,0.005974044574689865,0.003733777859181166
KOR_3,8.939693607348975e-05,0.0006704770205511732,0.0025142888270668993,0.006285722067667248,0.011785728876876091,0.01767859331531414,0.02209824164414267,0.02367668747586715,0.022196894508625453,0.01849741209052121,0.013873059067890907,0.009458903909925617,0.0059118149437035125
KOR_4,0.00010615886158726908,0.0007961914619045182,0.002985717982141943,0.0074642949553548575,0.013995553041290357,0.02099332956193554,0.026241661952419424,0.02811606637759224,0.026358812228992726,0.021965676857493937,0.016474257643120455,0.011232448393036672,0.007020280245647921
KOR_5,0.00010085091850790564,0.0007563818888092923,0.002836432083034846,0.007091080207587115,0.01329577538922584,0.019943663083838763,0.02492957885479845,0.026710263058712626,0.02504087161754309,0.02086739301461924,0.01565054476096443,0.010670825973384836,0.006669266233365525
KOR_6,7.984031048542529e-05,0.0005988023286406897,0.002245508732402586,0.005613771831006465,0.010525822183137122,0.015788733274705685,0.019735916593382107,0.021145624921480827,0.019824023363888277,0.016520019469906895,0.012390014602430173,0.008447737228929662,0.005279835768081041
KOR_7,5.417735354368145e-05,0.00040633015157761097,0.001523738068416041,0.003809345171040102,0.007142522195700191,0.010713783293550288,0.01339222911693786,0.01434881691100485,0.013452015854067047,0.011210013211722538,0.008407509908791905,0.005732393119630844,0.003582745699769278
KOR_8,3.2167803666560864e-05,0.00024125852749920653,0.0009047194781220243,0.0022617986953050607,0.004240872553696989,0.006361308830545484,0.007951636038181855,0.00851961004090913,0.00798713441335231,0.006655945344460258,0.004991959008345193,0.0034036084147808137,0.002127255259238009
KOR_9,1.697745193512934e-05,0.00012733088951347009,0.00047749083567551274,0.001193727089188782,0.002238238292228966,0.003357357438343449,0.004196696797929312,0.004496460854924262,0.004215432051491497,0.00351286004290958,0.002634645032182185,0.0017963488855787624,0.0011227180534867267
KOR_10,8.064289669186438e-06,6.048217251889829e-05,0.00022680814694586856,0.0005670203673646715,0.001063163188808759,0.0015947447832131384,0.001993430979016423,0.002135818906089025,0.0020023302244584606,0.0016686085203820506,0.0012514563902865379,0.0008532657206499121,0.0005332910754061952
KOR_11,3.4823069026032348e-06,2.611730176952426e-05,9.793988163571597e-05,0.0002448497040892899,0.00045909319516741857,0.000688639792751128,0.0008607997409389099,0.0009222854367202607,0.0008646425969252445,0.0007205354974377036,0.0005404016230782777,0.0003684556520988257,0.0002302847825617661
KOR_12,1.3784131489471138e-06,1.0338098617103355e-05,3.8767869814137576e-05,9.691967453534393e-05,0.0001817243897537699,0.0002725865846306548,0.00034073323078831854,0.0003650713187017699,0.0003422543612829093,0.00028521196773575774,0.0002139089758018183,0.00014584702895578517,9.115439309736575e-05
