split_type,split_id,status,train_rows,test_rows,home_adv,coinflip_brier,poisson_accuracy,poisson_brier,poisson_ece,poisson_beats_coinflip_brier,brier_margin
chronological_fraction,train_frac=0.5,EVALUATED,1215,1215,,0.25,0.6106995884773663,0.23823526354110863,0.041429171193415625,True,0.011765
chronological_fraction,train_frac=0.6,EVALUATED,1458,972,,0.25,0.6008230452674898,0.2395331280899321,0.04825990329218105,True,0.010467
chronological_fraction,train_frac=0.7,EVALUATED,1701,729,,0.25,0.6021947873799726,0.23802675393776407,0.04123780521262003,True,0.011973
monthly_window,2025-03,SKIPPED_INSUFFICIENT_TRAIN,0,67,,,,,,,
monthly_window,2025-04,SKIPPED_INSUFFICIENT_TRAIN,67,391,,,,,,,
monthly_window,2025-05,EVALUATED,458,411,1.044186,0.25,0.6472019464720195,0.23169907094772502,0.06006302472671471,True,0.018301
monthly_window,2025-06,EVALUATED,869,397,1.000614,0.25,0.5894206549118388,0.2503076683863455,0.10012323785821282,False,-0.000308
monthly_window,2025-07,EVALUATED,1266,369,1.007794,0.25,0.6314363143631436,0.23223290349624515,0.045406614113901296,True,0.017767
monthly_window,2025-08,EVALUATED,1635,421,1.017144,0.25,0.5748218527315915,0.24636691106664835,0.05962425751436882,True,0.003633
monthly_window,2025-09,EVALUATED,2056,374,1.027085,0.25,0.6310160427807486,0.23080291694126612,0.045533213555274954,True,0.019197
