game_id,game_date,home_team,away_team,line_value,model_name,predicted_home_probability,predicted_side,predicted_side_probability,actual_side,correct
2025-08-02_New York Yankees@Miami Marlins,2025-08-02,Miami Marlins,New York Yankees,-1.5,poisson_team_rate_model,0.142121,AWAY,0.8578790000000001,HOME,0
2025-08-06_Houston Astros@Miami Marlins,2025-08-06,Miami Marlins,Houston Astros,-1.5,poisson_team_rate_model,0.167343,AWAY,0.832657,HOME,0
2025-07-22_San Diego Padres@Miami Marlins,2025-07-22,Miami Marlins,San Diego Padres,-1.5,poisson_team_rate_model,0.170375,AWAY,0.8296250000000001,AWAY,1
2025-07-21_San Diego Padres@Miami Marlins,2025-07-21,Miami Marlins,San Diego Padres,-1.5,poisson_team_rate_model,0.17093,AWAY,0.82907,AWAY,1
2025-08-04_Houston Astros@Miami Marlins,2025-08-04,Miami Marlins,Houston Astros,-1.5,poisson_team_rate_model,0.172478,AWAY,0.827522,AWAY,1
2025-09-16_Baltimore Orioles@Chicago White Sox,2025-09-16,Chicago White Sox,Baltimore Orioles,-1.5,poisson_team_rate_model,0.176051,AWAY,0.823949,AWAY,1
2025-09-24_Kansas City Royals@Los Angeles Angels,2025-09-24,Los Angeles Angels,Kansas City Royals,-1.5,poisson_team_rate_model,0.179909,AWAY,0.820091,AWAY,1
2025-08-09_Miami Marlins@Atlanta Braves,2025-08-09,Atlanta Braves,Miami Marlins,1.5,poisson_team_rate_model,0.819675,HOME,0.819675,HOME,1
2025-08-08_Miami Marlins@Atlanta Braves,2025-08-08,Atlanta Braves,Miami Marlins,1.5,poisson_team_rate_model,0.818922,HOME,0.818922,AWAY,0
2025-08-07_Miami Marlins@Atlanta Braves,2025-08-07,Atlanta Braves,Miami Marlins,1.5,poisson_team_rate_model,0.818298,HOME,0.818298,HOME,1
2025-07-20_Athletics@Cleveland Guardians,2025-07-20,Cleveland Guardians,Athletics,1.5,poisson_team_rate_model,0.812557,HOME,0.812557,HOME,1
2025-07-24_Seattle Mariners@Los Angeles Angels,2025-07-24,Los Angeles Angels,Seattle Mariners,-1.5,poisson_team_rate_model,0.18839,AWAY,0.8116099999999999,AWAY,1
2025-09-16_Chicago Cubs@Pittsburgh Pirates,2025-09-16,Pittsburgh Pirates,Chicago Cubs,-1.5,poisson_team_rate_model,0.190765,AWAY,0.809235,AWAY,1
2025-07-21_Detroit Tigers@Pittsburgh Pirates,2025-07-21,Pittsburgh Pirates,Detroit Tigers,-1.5,poisson_team_rate_model,0.193534,AWAY,0.806466,HOME,0
2025-07-22_New York Yankees@Toronto Blue Jays,2025-07-22,Toronto Blue Jays,New York Yankees,-1.5,poisson_team_rate_model,0.19723,AWAY,0.80277,AWAY,1
2025-08-03_Arizona Diamondbacks@Athletics,2025-08-03,Athletics,Arizona Diamondbacks,-1.5,poisson_team_rate_model,0.197318,AWAY,0.802682,AWAY,1
2025-08-01_Arizona Diamondbacks@Athletics,2025-08-01,Athletics,Arizona Diamondbacks,-1.5,poisson_team_rate_model,0.197408,AWAY,0.802592,HOME,0
2025-08-31_Milwaukee Brewers@Toronto Blue Jays,2025-08-31,Toronto Blue Jays,Milwaukee Brewers,-1.5,poisson_team_rate_model,0.198586,AWAY,0.801414,HOME,0
2025-08-02_Arizona Diamondbacks@Athletics,2025-08-02,Athletics,Arizona Diamondbacks,-1.5,poisson_team_rate_model,0.200296,AWAY,0.799704,AWAY,1
2025-08-30_Milwaukee Brewers@Toronto Blue Jays,2025-08-30,Toronto Blue Jays,Milwaukee Brewers,-1.5,poisson_team_rate_model,0.200318,AWAY,0.799682,AWAY,1
2025-08-29_Milwaukee Brewers@Toronto Blue Jays,2025-08-29,Toronto Blue Jays,Milwaukee Brewers,-1.5,poisson_team_rate_model,0.203103,AWAY,0.796897,AWAY,1
2025-08-20_Cincinnati Reds@Los Angeles Angels,2025-08-20,Los Angeles Angels,Cincinnati Reds,-1.5,poisson_team_rate_model,0.204445,AWAY,0.795555,AWAY,1
2025-07-31_Tampa Bay Rays@New York Yankees,2025-07-31,New York Yankees,Tampa Bay Rays,1.5,poisson_team_rate_model,0.794405,HOME,0.794405,HOME,1
2025-09-23_Houston Astros@Athletics,2025-09-23,Athletics,Houston Astros,-1.5,poisson_team_rate_model,0.207968,AWAY,0.7920320000000001,HOME,0
2025-08-20_New York Yankees@Tampa Bay Rays,2025-08-20,Tampa Bay Rays,New York Yankees,-1.5,poisson_team_rate_model,0.20818,AWAY,0.79182,AWAY,1
