segment_type,segment_key,min_confidence,decisions_count,hit_rate,average_confidence,calibration_gap,home_count,away_count,stake_units_total,roi,roi_status,interpretation_label
GLOBAL,ALL,,25,0.72,0.81188436,0.09188436,5,20,25.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
THRESHOLD,>=0.50,0.5,25,0.72,0.81188436,0.09188436,5,20,25.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
THRESHOLD,>=0.55,0.55,25,0.72,0.81188436,0.09188436,5,20,25.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
THRESHOLD,>=0.60,0.6,25,0.72,0.81188436,0.09188436,5,20,25.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
THRESHOLD,>=0.65,0.65,25,0.72,0.81188436,0.09188436,5,20,25.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
THRESHOLD,>=0.70,0.7,25,0.72,0.81188436,0.09188436,5,20,25.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
THRESHOLD,>=0.75,0.75,25,0.72,0.81188436,0.09188436,5,20,25.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
THRESHOLD,>=0.80,0.8,18,0.6666666666666666,0.8181674444444444,0.15150077777777782,4,14,18.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
CONFIDENCE_BUCKET,0.50_0.60,0.5,0,,,,0,0,0.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
CONFIDENCE_BUCKET,0.60_0.70,0.6,0,,,,0,0,0.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
CONFIDENCE_BUCKET,0.70_0.80,0.7,7,0.8571428571428571,0.7957278571428572,-0.061414999999999886,1,6,7.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
CONFIDENCE_BUCKET,0.80_0.90,0.8,18,0.6666666666666666,0.8181674444444444,0.15150077777777782,4,14,18.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
CONFIDENCE_BUCKET,0.90_1.00,0.9,0,,,,0,0,0.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
PREDICTED_SIDE,HOME,,5,0.8,0.8127714000000001,0.0127714000000001,5,0,5.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
PREDICTED_SIDE,AWAY,,20,0.7,0.8116626,0.11166260000000006,0,20,20.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
GAME_MONTH,2025-07,,7,0.8571428571428571,0.8123575714285715,-0.04478528571428564,2,5,7.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
GAME_MONTH,2025-08,,14,0.6428571428571429,0.8118070714285714,0.16894992857142854,3,11,14.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
GAME_MONTH,2025-09,,4,0.75,0.8113267500000001,0.061326750000000096,0,4,4.0,,ROI_UNAVAILABLE,IN_SAMPLE_DESCRIPTIVE_ONLY
