file_id,category,title,relative_path,target_exists,sha256,source_artifact,safe_to_view,notes
dashboard_html,dashboard,P248 dashboard HTML,report/p248a_paper_toolchain_dashboard/dashboard.html,True,03e7a9e5fb9a9d2ae4a0f362bc38d430b511e85a8d5bb2ccbf656c9bfc220cf0,P248-dashboard,True,
dashboard_summary_json,dashboard,P248 dashboard summary JSON,report/p248a_paper_toolchain_dashboard/dashboard_summary.json,True,5e35c86521fd48be1337ab5d256c29145c9ef39d774b134d1ebdbdff688e0386,P248-dashboard,True,
dashboard_sections_csv,dashboard,P248 dashboard sections CSV,report/p248a_paper_toolchain_dashboard/dashboard_sections.csv,True,8ebb2e375d3394f7681892933119e209df76592d179bbb502b8b95087e6fe1d3,P248-dashboard,True,
index_html,index,P249 launch index HTML,report/p249a_paper_toolchain_index/index.html,True,9ca61da92ce069240efbf799c15376362e0db0580df813f48d7b6c0637b37cbd,P249-index,True,
index_summary_json,index,P249 index summary JSON,report/p249a_paper_toolchain_index/index_summary.json,True,0ff1d869e43072dd2aa92a6e78f4fca65df7c42badf35bb21104cf27d2d01352,P249-index,True,
index_links_csv,index,P249 index links CSV,report/p249a_paper_toolchain_index/index_links.csv,True,426cced6b0cf8b0867b0bd57562755f9592baf465fb72ce439a8cf8eefeabc24,P249-index,True,
cli_help_summary_json,cli_help,P250 CLI help summary JSON,report/p250a_paper_toolchain_cli_help/cli_help_summary.json,True,ad7963fb0d398a5a771aa4f232ad673ac9c8c49ffa9903b1e0b5f560e4ac5c2a,P250-cli_help,True,
cli_help_entries_csv,cli_help,P250 CLI help entries CSV,report/p250a_paper_toolchain_cli_help/cli_help_entries.csv,True,b953909d896a905785f7931daf994020887d7fb2637a4ff65a5fb6aff3d3e279,P250-cli_help,True,
cli_help_report_md,cli_help,P250 CLI help report Markdown,report/p250a_paper_toolchain_cli_help/cli_help_report.md,True,5be500c4525ad68fe33f9cd7085af952e3012d206f2bd6061a31a86598df7000,P250-cli_help,True,
quickstart_summary_json,quickstart,P251 quickstart summary JSON,report/p251a_paper_toolchain_quickstart/quickstart_summary.json,True,e5573e47f422c332325196dcb4b818b28f86422f81612a4a266a7cbcbfe5f28a,P251-quickstart,True,
quickstart_commands_csv,quickstart,P251 quickstart commands CSV,report/p251a_paper_toolchain_quickstart/quickstart_commands.csv,True,82287676570cdb7cb5e67923af528c364a50e9b513fdf86081f9961ecdcb3c14,P251-quickstart,True,
quickstart_md,quickstart,P251 quickstart Markdown,report/p251a_paper_toolchain_quickstart/quickstart.md,True,7645421b4f0edf16b317b3b165190ae265057a97d31d102c52d25275a5c7f152,P251-quickstart,True,
